TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
80,1000,,5,OBJ,FOIL,stimuli/fractals/68a.jpg,375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
81,3000,,5,OBJ,LURE,stimuli/fractals/18c.jpg,-225.0,225.0,127.0,ERP,stimuli/fractals/18a.jpg,-225.0,225.0,stimuli/fractals/18a.jpg,stimuli/fractals/18b.jpg,stimuli/fractals/18c.jpg,-225.0,225.0,-75.0,225.0,-375.0,225.0,225.0,-75.0
82,5000,,5,OBJ,FOIL,stimuli/fractals/106b.jpg,375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
83,3000,,5,OBJ,TARGET,stimuli/fractals/57a.jpg,-375.0,225.0,140.0,OLP,stimuli/fractals/57a.jpg,-375.0,225.0,stimuli/fractals/57a.jpg,stimuli/fractals/57c.jpg,stimuli/fractals/57b.jpg,-375.0,225.0,-375.0,75.0,-225.0,225.0,-75.0,-225.0
84,4000,,5,OBJ,TARGET,stimuli/fractals/65a.jpg,-375.0,-225.0,149.0,OLP,stimuli/fractals/65a.jpg,-375.0,-225.0,stimuli/fractals/65a.jpg,stimuli/fractals/65b.jpg,stimuli/fractals/65c.jpg,-375.0,-225.0,-375.0,-75.0,-225.0,-225.0,375.0,225.0
85,2000,,5,OBJ,LURE,stimuli/fractals/58a.jpg,375.0,-75.0,134.0,ERP,stimuli/fractals/58c.jpg,375.0,-75.0,stimuli/fractals/58c.jpg,stimuli/fractals/58b.jpg,stimuli/fractals/58a.jpg,375.0,-75.0,375.0,-225.0,375.0,75.0,-375.0,-225.0
86,4000,,5,OBJ,FOIL,stimuli/fractals/117a.jpg,-225.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
87,2000,,5,OBJ,LURE,stimuli/fractals/36a.jpg,75.0,225.0,137.0,ERP,stimuli/fractals/36b.jpg,75.0,225.0,stimuli/fractals/36b.jpg,stimuli/fractals/36c.jpg,stimuli/fractals/36a.jpg,75.0,225.0,225.0,225.0,-75.0,225.0,-375.0,-225.0
88,1000,,5,OBJ,TARGET,stimuli/fractals/1a.jpg,225.0,-75.0,150.0,ERP,stimuli/fractals/1a.jpg,225.0,-75.0,stimuli/fractals/1a.jpg,stimuli/fractals/1c.jpg,stimuli/fractals/1b.jpg,225.0,-75.0,225.0,75.0,75.0,-75.0,-375.0,-225.0
89,8000,,5,OBJ,FOIL,stimuli/fractals/33a.jpg,375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
